"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"41","RT @HealthCareVoter: Deaths from Covid-19 are expected to double by the end of June — mostly in communities of color, which have been hit h…",FALSE,0,NA,2020-05-07 23:53:40,FALSE,NA,"1258545567363330048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angelnphx",7,TRUE,FALSE,NA,NA
"42","RT @Jeff66923777: (PLEASE RETWEET!)

@realDonaldTrump has been trying to blame the WHO, China, Obama &amp; others for his absolute lousy Covid-…",FALSE,0,NA,2020-05-07 23:53:39,FALSE,NA,"1258545564397920256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","logonorblastoff",647,TRUE,FALSE,NA,NA
"43","RT @KDuffySr: The left follows its own rules while it enforces draconian rules for the rest of us. Especially the hypocrisy of their leftis…",FALSE,0,NA,2020-05-07 23:53:21,FALSE,NA,"1258545485884710912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CurtisHebert",135,TRUE,FALSE,NA,NA
"44","@parscale Awesome name to the campaign of @realDonaldTrump #DeathStar as it will result in death of &gt;200k people du… https://t.co/HVddHHCVBR",FALSE,0,"parscale",2020-05-07 23:53:01,TRUE,"1258388669544759296","1258545402350952448","17685258","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","go4ncsingh",0,FALSE,FALSE,NA,NA
"45","RT @CaslerNoel: While Trump was berating a nurse in the Oval Office yesterday who was telling the truth about the lack on PPE she experienc…",FALSE,0,NA,2020-05-07 23:52:56,FALSE,NA,"1258545383812108288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Phylter52",1300,TRUE,FALSE,NA,NA
"46","RT @KDuffySr: The left follows its own rules while it enforces draconian rules for the rest of us. Especially the hypocrisy of their leftis…",FALSE,0,NA,2020-05-07 23:52:18,FALSE,NA,"1258545222209794055",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Budman8845",135,TRUE,FALSE,NA,NA
"47","You scared, bro? @realDonaldTrump  Imagine how the rest of us feel.
 https://t.co/K09IeHkcW0",FALSE,0,NA,2020-05-07 23:52:15,FALSE,NA,"1258545211304640513",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ne14chocolate",0,FALSE,FALSE,NA,NA
"48","Went in to work today and went on a Covid -19 floor and each room I passed my heart broke!
@realDonaldTrump needs t… https://t.co/ZK2pfO1Ows",FALSE,0,NA,2020-05-07 23:52:04,TRUE,NA,"1258545165549006848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michieboo101",0,FALSE,FALSE,NA,NA
"49","RT @DrDenaGrayson: Whoops! @realDonaldTrump's personal valet **who serves Trump's food and beverage** has tested positive for #coronavirus.…",FALSE,0,NA,2020-05-07 23:52:02,FALSE,NA,"1258545155792986113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DivineEmmyMoo",659,TRUE,FALSE,NA,NA
"50","@realDonaldTrump @FLOTUS So impressed those so close to those infected with the Covid-19 virus are working so hard… https://t.co/H4w8XWpBkJ",FALSE,0,"realDonaldTrump",2020-05-07 23:51:53,TRUE,"1258465767751856130","1258545119889784833","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeffBobin",0,FALSE,FALSE,NA,NA
